MAIN INIT 32B 00000000
SUB INIT 32B 00010100
SUB BG0 SETPROP 16B 00001F00
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
MAIN BG0 SETPROP 16B 00000000
